"drug_name","drug_id","ind_name","ind_id","NCT","status","phase","DetailedStatus"
"Loteprednol","DB00873","Punctate keratitis","C0259799",NA,"Approved",NA,NA
"Loteprednol","DB00873","Rosacea","C0035854",NA,"Approved",NA,NA
"Loteprednol","DB00873","Herpes zoster keratitis","C1275687",NA,"Approved",NA,NA
"Loteprednol","DB00873","Iridocyclitis","C0022073",NA,"Approved",NA,NA
"Loteprednol","DB00873","Anterior uveitis","C0042165",NA,"Approved",NA,NA
"Loteprednol","DB00873","Ocular Rosacea","C0406486",NA,"Approved",NA,NA
"Loteprednol","DB00873","Allergic Conjunctivitis","C0009766",NA,"Approved",NA,NA
"Guaifenesin","DB00874","Headache Disorders","C0393735",NA,"Approved",NA,NA
"Guaifenesin","DB00874","Fever","C0015967",NA,"Approved",NA,NA
"Guaifenesin","DB00874","Rhinitis","C0035455",NA,"Approved",NA,NA
"Guaifenesin","DB00874","Common Cold","C0009443",NA,"Approved",NA,NA
"Guaifenesin","DB00874","Influenza-like symptoms","C0392171",NA,"Approved",NA,NA
"Guaifenesin","DB00874","Allergic rhinitis (disorder)","C2607914",NA,"Approved",NA,NA
"Guaifenesin","DB00874","Nasal congestion (finding)","C0027424",NA,"Approved",NA,NA
"Guaifenesin","DB00874","Rhinorrhea","C1260880",NA,"Approved",NA,NA
"Guaifenesin","DB00874","Sinus headache","C0037195",NA,"Approved",NA,NA
"Guaifenesin","DB00874","Coughing","C0010200",NA,"Approved",NA,NA
"Flupentixol","DB00875","Schizophrenia","C0036341",NA,"Approved",NA,NA
"Eprosartan","DB00876","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"Sirolimus","DB00877","Renal Cell Carcinoma","C0007134",NA,"Approved",NA,NA
"Sirolimus","DB00877","Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse","C0334634",NA,"Approved",NA,NA
"Sirolimus","DB00877","Pulmonary lymphangioleiomyomatosis","C0349649",NA,"Approved",NA,NA
"Chlorhexidine","DB00878","Gingivitis","C0017574",NA,"Approved",NA,NA
"Emtricitabine","DB00879","HIV Infections","C0019693",NA,"Approved",NA,NA
"Chlorothiazide","DB00880","Edema","C0013604",NA,"Approved",NA,NA
"Chlorothiazide","DB00880","Hypertensive urgency","C0745138",NA,"Approved",NA,NA
"Chlorothiazide","DB00880","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"Chlorothiazide","DB00880","Chronic heart failure","C0264716",NA,"Approved",NA,NA
"Quinapril","DB00881","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"Quinapril","DB00881","Chronic heart failure","C0264716",NA,"Approved",NA,NA
"Clomifene","DB00882","Female infertility","C0021361",NA,"Approved",NA,NA
"Isosorbide Dinitrate","DB00883","Chronic heart failure","C0264716",NA,"Approved",NA,NA
"Isosorbide Dinitrate","DB00883","Angina Pectoris","C0002962",NA,"Approved",NA,NA
"Risedronate","DB00884","Osteitis Deformans","C0029401",NA,"Approved",NA,NA
"Risedronate","DB00884","Osteoporosis, Postmenopausal","C0029458",NA,"Approved",NA,NA
"Risedronate","DB00884","Osteoporosis","C0029456",NA,"Approved",NA,NA
"Pemirolast","DB00885","Allergic Conjunctivitis","C0009766",NA,"Approved",NA,NA
"Pemirolast","DB00885","Asthma","C0004096",NA,"Approved",NA,NA
"Pemirolast","DB00885","Allergic rhinitis (disorder)","C2607914",NA,"Approved",NA,NA
"Bumetanide","DB00887","Renal disease with edema NOS","C0866125",NA,"Approved",NA,NA
"Bumetanide","DB00887","Edema","C0013604",NA,"Approved",NA,NA
"Mechlorethamine","DB00888","Hodgkin Disease","C0019829",NA,"Approved",NA,NA
"Mechlorethamine","DB00888","Malignant neoplasm of lung","C0242379",NA,"Approved",NA,NA
"Mechlorethamine","DB00888","Lymphoma, Non-Hodgkin","C0024305",NA,"Approved",NA,NA
"Mechlorethamine","DB00888","Malignant pericardial effusion","C0220655",NA,"Approved",NA,NA
"Mechlorethamine","DB00888","Lymphoma, T-Cell, Cutaneous","C0079773",NA,"Approved",NA,NA
"Mechlorethamine","DB00888","Chronic Lymphocytic Leukemia","C0023434",NA,"Approved",NA,NA
"Mechlorethamine","DB00888","Myeloid Leukemia, Chronic","C0023473",NA,"Approved",NA,NA
"Mechlorethamine","DB00888","Pleural Effusion, Malignant","C0080032",NA,"Approved",NA,NA
"Mechlorethamine","DB00888","Malignant ascites","C0220656",NA,"Approved",NA,NA
"Mechlorethamine","DB00888","Mycosis Fungoides","C0026948",NA,"Approved",NA,NA
"Granisetron","DB00889","Chemotherapy-induced nausea and vomiting","C0401160",NA,"Approved",NA,NA
"Dienestrol","DB00890","Dyspareunia","C1384606",NA,"Approved",NA,NA
"Dienestrol","DB00890","Atrophy of vulva","C0156393",NA,"Approved",NA,NA
"Dienestrol","DB00890","Atrophic Vaginitis","C0221392",NA,"Approved",NA,NA
"Sulfapyridine","DB00891","Dermatitis Herpetiformis","C0011608",NA,"Approved",NA,NA
"Testolactone","DB00894","Malignant epithelial neoplasm of female breast","C3163805",NA,"Approved",NA,NA
"Rimexolone","DB00896","Uveitis","C0042164",NA,"Approved",NA,NA
"Triazolam","DB00897","Sleeplessness","C0917801",NA,"Approved",NA,NA
"Remifentanil","DB00899","Acute postoperative pain","C2215257",NA,"Approved",NA,NA
"Didanosine","DB00900","HIV Infections","C0019693",NA,"Approved",NA,NA
"Methdilazine","DB00902","Pruritus","C0033774",NA,"Approved",NA,NA
"Methdilazine","DB00902","Allergic rhinitis (disorder)","C2607914",NA,"Approved",NA,NA
"Methdilazine","DB00902","Nasal congestion (finding)","C0027424",NA,"Approved",NA,NA
"Methdilazine","DB00902","Angioedema","C0002994",NA,"Approved",NA,NA
"Methdilazine","DB00902","Symptomatic dermographism","C0343065",NA,"Approved",NA,NA
"Methdilazine","DB00902","Rhinorrhea","C1260880",NA,"Approved",NA,NA
"Methdilazine","DB00902","Urticaria","C0042109",NA,"Approved",NA,NA
"Methdilazine","DB00902","Allergic Conjunctivitis","C0009766",NA,"Approved",NA,NA
"Methdilazine","DB00902","Sneezing","C0037383",NA,"Approved",NA,NA
"Etacrynic acid","DB00903","Edema","C0013604",NA,"Approved",NA,NA
"Ondansetron","DB00904","Chemotherapy-induced nausea and vomiting","C0401160",NA,"Approved",NA,NA
"Bimatoprost","DB00905","Glaucoma, Open-Angle","C0017612",NA,"Approved",NA,NA
"Bimatoprost","DB00905","Ocular Hypertension","C0028840",NA,"Approved",NA,NA
"Bimatoprost","DB00905","Hypertrichosis of eyelid","C0155213",NA,"Approved",NA,NA
"Tiagabine","DB00906","Epilepsy characterized by intractable complex partial seizures","C2711653",NA,"Approved",NA,NA
"Tiagabine","DB00906","Simple Partial Seizures","C0234974",NA,"Approved",NA,NA
"Quinidine","DB00908","Pseudobulbar affect","C2316460",NA,"Approved",NA,NA
"Tinidazole","DB00911","Acute amebiasis","C0152499",NA,"Approved",NA,NA
"Tinidazole","DB00911","Trichomonas Infections","C0040921",NA,"Approved",NA,NA
"Tinidazole","DB00911","Bacterial Vaginosis","C0085166",NA,"Approved",NA,NA
"Tinidazole","DB00911","Liver Abscess, Amebic","C0023886",NA,"Approved",NA,NA
"Tinidazole","DB00911","Giardiasis","C0017536",NA,"Approved",NA,NA
"Repaglinide","DB00912","Diabetes Mellitus, Non-Insulin-Dependent","C0011860",NA,"Approved",NA,NA
"Amantadine","DB00915","Extrapyramidal Disorders","C0015371",NA,"Approved",NA,NA
"Amantadine","DB00915","Parkinson Disease","C0030567",NA,"Approved",NA,NA
"Amantadine","DB00915","Parkinsonian Disorders","C0242422",NA,"Approved",NA,NA
"Amantadine","DB00915","Influenza due to Influenza A virus","C2711180",NA,"Approved",NA,NA
"Amantadine","DB00915","Parkinson Disease, Postencephalitic","C0030568",NA,"Approved",NA,NA
"Metronidazole","DB00916","Liver Abscess, Amebic","C0023886",NA,"Approved",NA,NA
"Metronidazole","DB00916","Bacteroides empyema","C2062454",NA,"Approved",NA,NA
"Metronidazole","DB00916","Infection due to anaerobic bacteria","C0854328",NA,"Approved",NA,NA
"Metronidazole","DB00916","Bacterial sepsis","C0684256",NA,"Approved",NA,NA
"Metronidazole","DB00916","Acute amebiasis","C0152499",NA,"Approved",NA,NA
"Metronidazole","DB00916","Female genital tract infection","C1263758",NA,"Approved",NA,NA
"Metronidazole","DB00916","Arthropathy associated with infection","C0157749",NA,"Approved",NA,NA
"Metronidazole","DB00916","Trichomonas Infections","C0040921",NA,"Approved",NA,NA
"Metronidazole","DB00916","Liver Abscess","C0023885",NA,"Approved",NA,NA
"Metronidazole","DB00916","Lower respiratory tract infection","C0149725",NA,"Approved",NA,NA
"Metronidazole","DB00916","Tubo-ovarian abscess","C0041343",NA,"Approved",NA,NA
"Metronidazole","DB00916","Intraabdominal Infections","C1112209",NA,"Approved",NA,NA
"Metronidazole","DB00916","Peritonitis","C0031154",NA,"Approved",NA,NA
"Metronidazole","DB00916","Bacterial Vaginosis","C0085166",NA,"Approved",NA,NA
"Metronidazole","DB00916","Infection of bone","C2242472",NA,"Approved",NA,NA
"Metronidazole","DB00916","Infection of skin AND/OR subcutaneous tissue","C0178299",NA,"Approved",NA,NA
"Metronidazole","DB00916","Giardiasis","C0017536",NA,"Approved",NA,NA
"Metronidazole","DB00916","Brain Abscess","C0006105",NA,"Approved",NA,NA
"Metronidazole","DB00916","Meningitis due to Bacteroides","C0865436",NA,"Approved",NA,NA
"Metronidazole","DB00916","Septicemia due to Bacteroides","C0276064",NA,"Approved",NA,NA
"Metronidazole","DB00916","Abdominal Abscess","C0243001",NA,"Approved",NA,NA
"Metronidazole","DB00916","Endometritis","C0014179",NA,"Approved",NA,NA
"Dinoprostone","DB00917","Hydatidiform mole, benign","C0549315",NA,"Approved",NA,NA
"Dinoprostone","DB00917","Unspecified Abortion","C0156543",NA,"Approved",NA,NA
"Dinoprostone","DB00917","Incomplete spontaneous abortion","C0000810",NA,"Approved",NA,NA
"Almotriptan","DB00918","Migraine Disorders","C0149931",NA,"Approved",NA,NA
"Spectinomycin","DB00919","GONOCOCCAL INFECTION DISSEMINATED","C0744451",NA,"Approved",NA,NA
"Spectinomycin","DB00919","Gonorrhea of rectum","C0275665",NA,"Approved",NA,NA
"Spectinomycin","DB00919","Gonorrhea","C0018081",NA,"Approved",NA,NA
"Spectinomycin","DB00919","Acute gonococcal cervicitis","C0153195",NA,"Approved",NA,NA
"Spectinomycin","DB00919","Acute gonococcal urethritis","C0275652",NA,"Approved",NA,NA
"Ketotifen","DB00920","Allergic Conjunctivitis","C0009766",NA,"Approved",NA,NA
"Buprenorphine","DB00921","Opiate Addiction","C0524662",NA,"Approved",NA,NA
"Buprenorphine","DB00921","Chronic pain","C0150055",NA,"Approved",NA,NA
"Buprenorphine","DB00921","Acute postoperative pain","C2215257",NA,"Approved",NA,NA
"Buprenorphine","DB00921","Severe pain","C0278140",NA,"Approved",NA,NA
"Levosimendan","DB00922","Congestive heart failure","C0018802",NA,"Approved",NA,NA
"Cyclobenzaprine","DB00924","Muscle Spasticity","C0026838",NA,"Approved",NA,NA
"Phenoxybenzamine","DB00925","Pheochromocytoma","C0031511",NA,"Approved",NA,NA
"Famotidine","DB00927","Peptic Esophagitis","C0014869",NA,"Approved",NA,NA
"Famotidine","DB00927","Duodenal Ulcer","C0013295",NA,"Approved",NA,NA
"Famotidine","DB00927","Zollinger-Ellison syndrome","C0043515",NA,"Approved",NA,NA
"Famotidine","DB00927","Dyspepsia","C0013395",NA,"Approved",NA,NA
"Famotidine","DB00927","Heartburn","C0018834",NA,"Approved",NA,NA
"Famotidine","DB00927","Erosive esophagitis","C0267055",NA,"Approved",NA,NA
"Famotidine","DB00927","Gastric ulcer","C0038358",NA,"Approved",NA,NA
"Famotidine","DB00927","Gastroesophageal reflux disease","C0017168",NA,"Approved",NA,NA
"Misoprostol","DB00929","Postpartum Hemorrhage","C0032797",NA,"Approved",NA,NA
"Colesevelam","DB00930","Hypercholesterolemia","C0020443",NA,"Approved",NA,NA
"Methacycline","DB00931","Bacterial enteritis","C0152516",NA,"Approved",NA,NA
"Tipranavir","DB00932","HIV Infections","C0019693",NA,"Approved",NA,NA
"Mesoridazine","DB00933","Schizophrenia","C0036341",NA,"Approved",NA,NA
"Maprotiline","DB00934","Mixed anxiety and depressive disorder","C0338908",NA,"Approved",NA,NA
"Maprotiline","DB00934","Depressive disorder","C0011581",NA,"Approved",NA,NA
"Oxymetazoline","DB00935","Rhinorrhea","C1260880",NA,"Approved",NA,NA
"Oxymetazoline","DB00935","Nasal congestion (finding)","C0027424",NA,"Approved",NA,NA
"Oxymetazoline","DB00935","Redness of eye","C0235267",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Allergic rhinitis (disorder)","C2607914",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Degenerative polyarthritis","C0029408",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Hyperkeratosis","C0870082",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Fever","C0015967",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Seborrheic dermatitis","C0036508",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Scurfiness of scalp","C0423775",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Common Cold","C0009443",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Plantar wart","C0042548",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Acne Vulgaris","C0001144",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Tinea Pedis","C0040259",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Rheumatoid Arthritis","C0003873",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Pain","C0030193",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Tinea corporis (disorder)","C0040252",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Greasy skin","C0234925",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Synovitis","C0039103",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Disorder of keratinization","C0475811",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Corns and callus","C0157726",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Influenza-like symptoms","C0392171",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Migraine Disorders","C0149931",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Back Pain","C0004604",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Headache Disorders","C0393735",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Sinus headache","C0037195",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Toothache","C0040460",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Myocardial Infarction","C0027051",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Arthralgia","C0003862",NA,"Approved",NA,NA
"Salicylic acid","DB00936","Arthritic pains","C0857177",NA,"Approved",NA,NA
"Diethylpropion","DB00937","Obesity","C0028754",NA,"Approved",NA,NA
"Salmeterol","DB00938","Intrinsic asthma","C0155880",NA,"Approved",NA,NA
"Salmeterol","DB00938","Pulmonary Emphysema","C0034067",NA,"Approved",NA,NA
"Salmeterol","DB00938","Allergic asthma","C0155877",NA,"Approved",NA,NA
"Meclofenamic acid","DB00939","Degenerative polyarthritis","C0029408",NA,"Approved",NA,NA
"Meclofenamic acid","DB00939","Rheumatoid Arthritis","C0003873",NA,"Approved",NA,NA
"Meclofenamic acid","DB00939","Menorrhagia","C0025323",NA,"Approved",NA,NA
"Meclofenamic acid","DB00939","Dysmenorrhea","C0013390",NA,"Approved",NA,NA
"Meclofenamic acid","DB00939","Pain","C0030193",NA,"Approved",NA,NA
"Methantheline","DB00940","Peptic Ulcer","C0030920",NA,"Approved",NA,NA
"Methantheline","DB00940","Gastric ulcer","C0038358",NA,"Approved",NA,NA
"Methantheline","DB00940","Urinary Incontinence","C0042024",NA,"Approved",NA,NA
"Cycrimine","DB00942","Parkinson Disease","C0030567",NA,"Approved",NA,NA
"Zalcitabine","DB00943","HIV Infections","C0019693",NA,"Approved",NA,NA
"Acetylsalicylic acid","DB00945","Rheumatoid Arthritis","C0003873",NA,"Approved",NA,NA
"Acetylsalicylic acid","DB00945","Influenza-like symptoms","C0392171",NA,"Approved",NA,NA
"Acetylsalicylic acid","DB00945","Migraine Disorders","C0149931",NA,"Approved",NA,NA
"Acetylsalicylic acid","DB00945","Back Pain","C0004604",NA,"Approved",NA,NA
"Acetylsalicylic acid","DB00945","Degenerative polyarthritis","C0029408",NA,"Approved",NA,NA
"Acetylsalicylic acid","DB00945","Headache Disorders","C0393735",NA,"Approved",NA,NA
"Acetylsalicylic acid","DB00945","Common Cold","C0009443",NA,"Approved",NA,NA
"Acetylsalicylic acid","DB00945","Pain","C0030193",NA,"Approved",NA,NA
"Acetylsalicylic acid","DB00945","Sinus headache","C0037195",NA,"Approved",NA,NA
"Acetylsalicylic acid","DB00945","Toothache","C0040460",NA,"Approved",NA,NA
"Acetylsalicylic acid","DB00945","Myocardial Infarction","C0027051",NA,"Approved",NA,NA
"Acetylsalicylic acid","DB00945","Arthralgia","C0003862",NA,"Approved",NA,NA
"Acetylsalicylic acid","DB00945","Arthritic pains","C0857177",NA,"Approved",NA,NA
"Phenprocoumon","DB00946","Thrombosis","C0040053",NA,"Approved",NA,NA
"Phenprocoumon","DB00946","Myocardial Infarction","C0027051",NA,"Approved",NA,NA
"Phenprocoumon","DB00946","Thromboembolism","C0040038",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Bacterial sepsis","C0684256",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Urinary tract infection","C0042029",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Intraabdominal Infections","C1112209",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Pneumonia due to Pseudomonas","C0155860",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Infection of skin AND/OR subcutaneous tissue","C0178299",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Enterobacter pneumonia","C1096258",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Genitourinary tract infection","C1279247",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Serratia Infections","C0085394",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Aspiration Pneumonia","C0032290",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Haemophilus influenzae pneumonia","C0276026",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Pneumonia due to Escherichia coli","C0276089",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Acute gonococcal endometritis","C0153196",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Gonorrhea","C0018081",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Acute gonococcal cervicitis","C0153195",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Acute gonococcal urethritis","C0275652",NA,"Approved",NA,NA
"Mezlocillin","DB00948","Bacterial infection due to Klebsiella pneumoniae","C0343402",NA,"Approved",NA,NA
"Felbamate","DB00949","Simple Partial Seizures","C0234974",NA,"Approved",NA,NA
"Felbamate","DB00949","Lennox-Gastaut syndrome","C0238111",NA,"Approved",NA,NA
"Felbamate","DB00949","Epilepsy","C0014544",NA,"Approved",NA,NA
"Fexofenadine","DB00950","Chronic idiopathic urticaria","C0578870",NA,"Approved",NA,NA
"Fexofenadine","DB00950","Hay fever","C0018621",NA,"Approved",NA,NA
"Fexofenadine","DB00950","Allergic Conjunctivitis","C0009766",NA,"Approved",NA,NA
"Fexofenadine","DB00950","Allergic rhinitis (disorder)","C2607914",NA,"Approved",NA,NA
"Fexofenadine","DB00950","Sneezing","C0037383",NA,"Approved",NA,NA
"Isoniazid","DB00951","Acute tuberculosis","C0275959",NA,"Approved",NA,NA
"Isoniazid","DB00951","Tuberculosis, Pulmonary","C0041327",NA,"Approved",NA,NA
"Naratriptan","DB00952","Migraine Disorders","C0149931",NA,"Approved",NA,NA
"Rizatriptan","DB00953","Migraine Disorders","C0149931",NA,"Approved",NA,NA
"Dirithromycin","DB00954","Staphylococcus aureus infection","C1318973",NA,"Approved",NA,NA
"Dirithromycin","DB00954","Pharyngitis","C0031350",NA,"Approved",NA,NA
"Dirithromycin","DB00954","Acute Moraxella catarrhalis bronchitis","C0339932",NA,"Approved",NA,NA
"Dirithromycin","DB00954","Legionella pneumophila pneumonia","C0857846",NA,"Approved",NA,NA
"Dirithromycin","DB00954","Streptococcal tonsillitis","C0275804",NA,"Approved",NA,NA
"Dirithromycin","DB00954","Bronchitis","C0006277",NA,"Approved",NA,NA
"Dirithromycin","DB00954","Tonsillitis","C0040425",NA,"Approved",NA,NA
"Dirithromycin","DB00954","Streptococcus pyogenes infection","C0554628",NA,"Approved",NA,NA
"Dirithromycin","DB00954","Pneumonia","C0032285",NA,"Approved",NA,NA
"Dirithromycin","DB00954","Infection of skin AND/OR subcutaneous tissue","C0178299",NA,"Approved",NA,NA
"Dirithromycin","DB00954","Mycoplasma pneumonia","C0032302",NA,"Approved",NA,NA
"Hydrocodone","DB00956","Rhinorrhea","C1260880",NA,"Approved",NA,NA
"Hydrocodone","DB00956","Nasal congestion (finding)","C0027424",NA,"Approved",NA,NA
"Hydrocodone","DB00956","Coughing","C0010200",NA,"Approved",NA,NA
"Hydrocodone","DB00956","Rhinitis","C0035455",NA,"Approved",NA,NA
"Hydrocodone","DB00956","Pain","C0030193",NA,"Approved",NA,NA
"Hydrocodone","DB00956","Allergic rhinitis (disorder)","C2607914",NA,"Approved",NA,NA
"Hydrocodone","DB00956","Common Cold","C0009443",NA,"Approved",NA,NA
"Norgestimate","DB00957","Acne Vulgaris","C0001144",NA,"Approved",NA,NA
"Norgestimate","DB00957","Atrophic Vaginitis","C0221392",NA,"Approved",NA,NA
"Norgestimate","DB00957","Atrophy of vulva","C0156393",NA,"Approved",NA,NA
"Norgestimate","DB00957","Hot flushes","C0600142",NA,"Approved",NA,NA
"Carboplatin","DB00958","Malignant neoplasm of ovary","C1140680",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Mycosis Fungoides","C0026948",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Asthma","C0004096",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Rheumatoid Arthritis","C0003873",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Rheumatic Heart Disease","C0035439",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Pruritus Ani","C0033775",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Laryngeal Edema","C0023052",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Congenital adrenal hyperplasia","C0001627",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Dermatologic disorders","C0037274",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Arthritis, Psoriatic","C0003872",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Addison Disease","C0001403",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Exacerbation of asthma","C0349790",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Epicondylitis","C0014488",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Exfoliative dermatitis","C0011606",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Multiple Sclerosis","C0026769",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Lichen Simplex Chronicus","C0149922",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Arthritis, Gouty","C0003868",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Thyroiditis","C0040147",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Autoimmune hemolytic anemia","C0002880",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Chronic small plaque psoriasis","C0406317",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Lymphoma, T-Cell, Cutaneous","C0079773",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Hodgkin Disease","C0019829",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Dermatitis Herpetiformis","C0011608",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Cerebral Edema","C0006114",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Lymphoma, Follicular","C0024301",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Berylliosis","C0005138",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Lymphoma, Non-Hodgkin","C0024305",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Erythema Multiforme","C0014742",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Exanthema","C0015230",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Granuloma Annulare","C0085074",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Pruritus of genital organs","C0033777",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Acute lymphocytic leukemia","C0023449",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Synovitis","C0039103",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Tendinitis","C0039503",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Adrenogenital disorder","C0701163",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Angioedema","C0002994",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Serum Sickness","C0036830",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Post traumatic osteoarthritis","C2894027",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Scalp psoriasis","C0406326",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Humoral hypercalcemia of malignancy (disorder)","C0149911",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Lupus Erythematosus, Discoid","C0024138",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Transplanted organ rejection","C0345468",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Allergic rhinitis (disorder)","C2607914",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Acquired thrombocytopenia","C0154301",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Lupus Erythematosus, Systemic","C0024141",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Tenosynovitis","C0039520",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Seborrheic dermatitis","C0036508",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Musculoskeletal Diseases","C0026857",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Pemphigus","C0030807",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Sarcoidosis","C0036202",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Status Asthmaticus","C0038218",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Simple Pulmonary Eosinophilia","C0242459",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Contact Dermatitis","C0011616",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Trichinellosis","C0040896",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Anemia, Diamond-Blackfan","C1260899",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Adrenal cortical hypofunction","C0405580",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Nephrotic Syndrome","C0027726",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Ankylosing spondylitis","C0038013",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Bursitis","C0006444",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Crohn Disease","C0010346",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Autoimmune Diseases","C0004364",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Psoriasis","C0033860",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Tuberculosis, Miliary","C0041321",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Addisonian crisis","C0151467",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Disorder of eye","C0015397",NA,"Approved",NA,NA
"Methylprednisolone","DB00959","Inflammatory Bowel Diseases","C0021390",NA,"Approved",NA,NA
