#GeneID	AssociatedGenes	RelatedGenes	ConceptID	DiseaseName	SourceName	SourceID	DiseaseMIM	LastUpdated
1756	DMD		C0917713	Becker muscular dystrophy	Office of Rare Diseases	5900	300376	16-Feb-16
1756	DMD		C0917713	Becker muscular dystrophy	SNOMED CT	387732009	300376	16-Feb-16
1756	DMD		C3668940	Dilated cardiomyopathy 3B	NCBI curation		302045	16-Feb-16
1756		DMD	CN043595	Dystrophinopathies	GeneTests	53738		16-Feb-16
29958	DMGDH		C1853892	Dimethylglycine dehydrogenase deficiency	NCBI curation		605850	16-Feb-16
1758	DMP1		C0342643	Autosomal recessive hypophosphatemic vitamin D refractory rickets	SNOMED CT	90505000	241520	16-Feb-16
1760	DMPK		C0027126	Steinert myotonic dystrophy syndrome	SNOMED CT	77956009	160900	16-Feb-16
23312	DMXL2		C4015261	Polyendocrine-polyneuropathy syndrome	NCBI curation		616113	16-Feb-16
1763	DNA2		C3554599	"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 6"	NCBI curation		615156	16-Feb-16
1763	DNA2		C3891452	Seckel syndrome 8	NCBI curation		615807	16-Feb-16
123872	DNAAF1		C2750790	"Ciliary dyskinesia, primary, 13"	NCBI curation		613193	16-Feb-16
123872		DNAAF1	C0008780	Primary ciliary dyskinesia	Office of Rare Diseases	4484		16-Feb-16
55172	DNAAF2		C2675867	"Ciliary dyskinesia, primary, 10"	NCBI curation		612518	16-Feb-16
55172		DNAAF2	C0008780	Primary ciliary dyskinesia	Office of Rare Diseases	4484		16-Feb-16
352909	DNAAF3		C1847554	"Ciliary dyskinesia, primary, 2"	NCBI curation		606763	16-Feb-16
352909		DNAAF3	C0008780	Primary ciliary dyskinesia	Office of Rare Diseases	4484		16-Feb-16
161582	DNAAF4		C1851967	Dyslexia 1	NCBI curation		127700	16-Feb-16
161582	DNAAF4		C3809641	Primary ciliary dyskinesia 25	NCBI curation		615482	16-Feb-16
54919	DNAAF5		C0008780	Primary ciliary dyskinesia	Office of Rare Diseases	4484		16-Feb-16
54919	DNAAF5		C3543825	"Ciliary dyskinesia, primary, 18"	NCBI curation		614874	16-Feb-16
8701	DNAH11		C2678473	"Ciliary dyskinesia, primary, 7"	NCBI curation		611884	16-Feb-16
8701		DNAH11	C0008780	Primary ciliary dyskinesia	Office of Rare Diseases	4484		16-Feb-16
1767	DNAH5		C1837618	"Ciliary dyskinesia, primary, 3"	NCBI curation		608644	16-Feb-16
1767		DNAH5	C0008780	Primary ciliary dyskinesia	Office of Rare Diseases	4484		16-Feb-16
27019	DNAI1		C0022521	Kartagener syndrome	Office of Rare Diseases	6815	244400	16-Feb-16
27019	DNAI1		C0022521	Kartagener syndrome	SNOMED CT	42402006	244400	16-Feb-16
27019		DNAI1	C0008780	Primary ciliary dyskinesia	Office of Rare Diseases	4484		16-Feb-16
64446	DNAI2		C2676235	"Ciliary dyskinesia, primary, 9"	NCBI curation		612444	16-Feb-16
64446		DNAI2	C0008780	Primary ciliary dyskinesia	Office of Rare Diseases	4484		16-Feb-16
374407	DNAJB13		C4310722	"Ciliary dyskinesia, primary, 34"	NCBI curation		617091	20-Jun-17
3300	DNAJB2		C3553989	"Spinal muscular atrophy, distal, autosomal recessive, 5"	NCBI curation		614881	16-Feb-16
3300	DNAJB2		C4015635	"Charcot-Marie-Tooth disease, axonal, type 2T"	NCBI curation		617017	16-Feb-16
3300	DNAJB2		CN043576	"Charcot-Marie-Tooth disease, type 2"	NCBI curation			16-Feb-16
3300		DNAJB2	C0007959	Charcot-Marie-Tooth disease	Genetics Home Reference	charcot-marie-tooth-disease		16-Feb-16
3300		DNAJB2	C0007959	Charcot-Marie-Tooth disease	Office of Rare Diseases	6034		16-Feb-16
3300		DNAJB2	C0007959	Charcot-Marie-Tooth disease	SNOMED CT	50548001		16-Feb-16
10049	DNAJB6		C3148763	"Limb-girdle muscular dystrophy, type 1E"	NCBI curation		603511	16-Feb-16
10049		DNAJB6	C0686353	Limb-girdle muscular dystrophy	Office of Rare Diseases	6907		16-Feb-16
10049		DNAJB6	C0686353	Limb-girdle muscular dystrophy	Orphanet	263		16-Feb-16
10049		DNAJB6	C0686353	Limb-girdle muscular dystrophy	SNOMED CT	93153005		16-Feb-16
10049		DNAJB6	CN043626	"Limb-Girdle Muscular Dystrophies, Autosomal Dominant"	GeneTests	53704		16-Feb-16
56521	DNAJC12		CN240901	"Hyperphenylalaninemia, mild, non-bh4-deficient"	NCBI curation		617384	20-Jun-17
23317	DNAJC13		C4225353	Parkinson disease 21	NCBI curation		616361	16-Feb-16
131118	DNAJC19		C1857776	3-methylglutaconic aciduria type V	NCBI curation		610198	16-Feb-16
134218	DNAJC21		C4310744	Bone marrow failure syndrome 3	NCBI curation		617052	24-Aug-16
5611	DNAJC3		C4015436	"Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus"	NCBI curation		616192	16-Feb-16
9829	DNAJC6		C3809811	"Parkinson disease 19a, juvenile-onset"	NCBI curation		615528	24-Aug-16
83544	DNAL1		C3151460	"Ciliary dyskinesia, primary, 16"	NCBI curation		614017	16-Feb-16
83544		DNAL1	C0008780	Primary ciliary dyskinesia	Office of Rare Diseases	4484		16-Feb-16
10126	DNAL4		C4015124	Mirror movements 3	NCBI curation		616059	16-Feb-16
1773	DNASE1		C0024141	Systemic lupus erythematosus	SNOMED CT	55464009	152700	16-Feb-16
1776	DNASE1L3		C3280742	Systemic lupus erythematosus 16	NCBI curation		614420	16-Feb-16
1759	DNM1		C4225357	"Epileptic encephalopathy, early infantile, 31"	NCBI curation		616346	16-Feb-16
10059	DNM1L		C3280660	Encephalopathy due to defective mitochondrial and peroxisomal fission 1	NCBI curation		614388	18-Jun-17
1785	DNM2		C1834558	"Myopathy, centronuclear, 1"	NCBI curation		160150	16-Feb-16
1785	DNM2		C1847902	DNM2-related intermediate Charcot-Marie-Tooth neuropathy	NCBI curation		606482	16-Feb-16
1785	DNM2		C3809272	Lethal congenital contracture syndrome 5	NCBI curation		615368	16-Feb-16
1785		DNM2	C0175709	Myotubular myopathy	SNOMED CT	82077006		16-Feb-16
1786	DNMT1		C1858804	"Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant"	NCBI curation		604121	24-Aug-16
1786	DNMT1		C3279885	Hereditary sensory neuropathy type IE	NCBI curation		614116	16-Feb-16
1788	DNMT3A		C4014545	Tatton-Brown-rahman syndrome	NCBI curation		615879	16-Feb-16
1789	DNMT3B		C0398788	"Centromeric instability of chromosomes 1,9 and 16 and immunodeficiency"	SNOMED CT	234633000	242860	16-Feb-16
1794	DOCK2		C4225328	Immunodeficiency 40	NCBI curation		616433	16-Feb-16
57572	DOCK6		C3280182	Adams-Oliver syndrome 2	NCBI curation		614219	16-Feb-16
57572		DOCK6	C0265268	Adams-Oliver syndrome	Genetics Home Reference	adams-oliver-syndrome		16-Feb-16
57572		DOCK6	C0265268	Adams-Oliver syndrome	SNOMED CT	34748004		16-Feb-16
85440	DOCK7		C4014492	"Epileptic encephalopathy, early infantile, 23"	NCBI curation		615859	16-Feb-16
81704	DOCK8		C1968689	"Hyperimmunoglobulin E recurrent infection syndrome, autosomal recessive"	Office of Rare Diseases	2816	243700	16-Feb-16
81704	DOCK8		C3279842	"Mental retardation, autosomal dominant 2"	NCBI curation		614113	16-Feb-16
285489	DOK7		C1276035	Pena-Shokeir syndrome type I	SNOMED CT	401138005	208150	16-Feb-16
285489	DOK7		C1276035	Pena-Shokeir syndrome type I	"UCLA Clinical Genomics Center, UCLA"		208150	16-Feb-16
285489	DOK7		C1850792	"Myasthenia, limb-girdle, familial"	"UCLA Clinical Genomics Center, UCLA"		254300	16-Feb-16
285489		DOK7	C0751882	Congenital myasthenic syndrome	NCBI curation			16-Feb-16
22845	DOLK		C1835849	Congenital disorder of glycosylation type 1M	NCBI curation		610768	16-Feb-16
22845		DOLK	C0282577	Congenital disorder of glycosylation	Genetic Testing Registry (GTR)	GTR000502771		16-Feb-16
22845		DOLK	C0282577	Congenital disorder of glycosylation	Orphanet	137		16-Feb-16
1798	DPAGT1		C1842572	Congenital disorder of glycosylation type 1J	Office of Rare Diseases	9837	608093	16-Feb-16
1798	DPAGT1		C3553645	Congenital myasthenic syndrome 13	NCBI curation		614750	13-Apr-16
1798		DPAGT1	C0282577	Congenital disorder of glycosylation	Genetic Testing Registry (GTR)	GTR000502771		16-Feb-16
1798		DPAGT1	C0282577	Congenital disorder of glycosylation	Orphanet	137		16-Feb-16
1801	DPH1		C4310801	"Developmental delay with short stature, dysmorphic features, and sparse hair"	ClinVar		616901	26-May-16
8813	DPM1		C1837396	Congenital disorder of glycosylation type 1E	Office of Rare Diseases	9831	608799	16-Feb-16
8813		DPM1	C0282577	Congenital disorder of glycosylation	Genetic Testing Registry (GTR)	GTR000502771		16-Feb-16
8813		DPM1	C0282577	Congenital disorder of glycosylation	Orphanet	137		16-Feb-16
8818	DPM2		C0282577	Congenital disorder of glycosylation	Genetic Testing Registry (GTR)	GTR000502771		16-Feb-16
8818	DPM2		C0282577	Congenital disorder of glycosylation	Orphanet	137		16-Feb-16
8818	DPM2		C3554385	Congenital disorder of glycosylation type 1u	NCBI curation		615042	16-Feb-16
54344	DPM3		C2752007	Congenital disorder of glycosylation type 1O	NCBI curation		612937	16-Feb-16
54344		DPM3	C0282577	Congenital disorder of glycosylation	Genetic Testing Registry (GTR)	GTR000502771		16-Feb-16
54344		DPM3	C0282577	Congenital disorder of glycosylation	Orphanet	137		16-Feb-16
1804	DPP6		C2751829	"Ventricular fibrillation, paroxysmal familial, 2"	NCBI curation		612956	16-Feb-16
1804	DPP6		C4225375	"Mental retardation, autosomal dominant 33"	NCBI curation		616311	16-Feb-16
1804		DPP6	C0340493	Paroxysmal familial ventricular fibrillation	SNOMED CT	233915000		5-Sep-16
283417	DPY19L2		C3151407	Spermatogenic failure 9	NCBI curation		613958	16-Feb-16
1806	DPYD		C1852514	Tegafur response	NCBI curation			16-Feb-16
1806	DPYD		C2720286	Dihydropyrimidine dehydrogenase deficiency	Office of Rare Diseases	19	274270	16-Feb-16
1806	DPYD		CN077963	Capecitabine response	"NCBI, ClinVar"			16-Feb-16
1806	DPYD		CN184090	Fluoropyrimidine response	NCBI curation			16-Feb-16
1807	DPYS		C0342803	Dihydropyrimidinase deficiency	SNOMED CT	238014002	222748	16-Feb-16
128338	DRAM2		CN231743	Cone-rod dystrophy 21	NCBI curation		616502	16-Feb-16
92749	DRC1		C3809087	"Ciliary dyskinesia, primary, 21"	NCBI curation		615294	16-Feb-16
92749		DRC1	C0008780	Primary ciliary dyskinesia	Office of Rare Diseases	4484		16-Feb-16
1813	DRD2		C1834570	Myoclonic dystonia	Office of Rare Diseases	7139	159900	16-Feb-16
1813	DRD2		C1834570	Myoclonic dystonia	SNOMED CT	439732004	159900	16-Feb-16
1814	DRD3		C0036341	Schizophrenia	SNOMED CT	58214004	181500	16-Feb-16
1814	DRD3		C1860861	Hereditary essential tremor 1	NCBI curation		190300	16-Feb-16
1814		DRD3	C0270736	Essential tremor	Office of Rare Diseases	5910		16-Feb-16
1814		DRD3	C0270736	Essential tremor	SNOMED CT	192839001		16-Feb-16
1815	DRD4		C1263846	Attention deficit hyperactivity disorder	SNOMED CT	406506008	143465	16-Feb-16
1815	DRD4		C1866430	Novelty seeking personality trait	NCBI curation		601696	16-Feb-16
1816	DRD5		C1263846	Attention deficit hyperactivity disorder	SNOMED CT	406506008	143465	16-Feb-16
1816	DRD5		C2930898	Blepharospasm	Office of Rare Diseases	5909	606798	16-Feb-16
1824	DSC2		C1864850	"Arrhythmogenic right ventricular cardiomyopathy, type 11"	NCBI curation		610476	16-Feb-16
1824		DSC2	C0349788	Arrhythmogenic right ventricular cardiomyopathy	Office of Rare Diseases	5847		16-Feb-16
1824		DSC2	C0349788	Arrhythmogenic right ventricular cardiomyopathy	SNOMED CT	281170005		16-Feb-16
1824		DSC2	C0878544	Cardiomyopathy	SNOMED CT	85898001		16-Feb-16
29940	DSE		C3809845	"Ehlers-Danlos syndrome, musculocontractural type 2"	NCBI curation		615539	16-Feb-16
1828	DSG1		C1835661	Keratosis palmoplantaris striata 1	Office of Rare Diseases	9172	148700	16-Feb-16
1828	DSG1		C3809719	"Erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper-ige"	NCBI curation		615508	16-Feb-16
1829	DSG2		C0007193	Primary dilated cardiomyopathy	SNOMED CT	195021004		16-Feb-16
1829	DSG2		C1857777	"Arrhythmogenic right ventricular cardiomyopathy, type 10"	NCBI curation		610193	16-Feb-16
1829	DSG2		C2752072	Dilated cardiomyopathy 1BB	NCBI curation	CN035480	612877	16-Feb-16
1829		DSG2	C0340427	Familial dilated cardiomyopathy	Orphanet	217607		16-Feb-16
1829		DSG2	C0349788	Arrhythmogenic right ventricular cardiomyopathy	Office of Rare Diseases	5847		16-Feb-16
1829		DSG2	C0349788	Arrhythmogenic right ventricular cardiomyopathy	SNOMED CT	281170005		16-Feb-16
1829		DSG2	C0878544	Cardiomyopathy	SNOMED CT	85898001		16-Feb-16
147409	DSG4		C1842839	Hypotrichosis 6	NCBI curation		607903	16-Feb-16
1832	DSP		C1843292	Skin fragility woolly hair syndrome	Office of Rare Diseases	5231	607655	16-Feb-16
1832	DSP		C1843896	"Arrhythmogenic right ventricular cardiomyopathy, type 8"	NCBI curation		607450	16-Feb-16
1832	DSP		C1852127	Keratosis palmoplantaris striata II	Genetic Testing Registry (GTR)	GTR000503103	612908	26-May-16
1832	DSP		C1854063	Cardiomyopathy dilated with woolly hair and keratoderma	Office of Rare Diseases	5595	605676	16-Feb-16
1832	DSP		C1864826	"Epidermolysis bullosa, lethal acantholytic"	Office of Rare Diseases	9910	609638	16-Feb-16
1832	DSP		C4014393	"Cardiomyopathy, dilated, with woolly hair, keratoderma, and tooth agenesis"	NCBI curation		615821	16-Feb-16
1832		DSP	C0349788	Arrhythmogenic right ventricular cardiomyopathy	Office of Rare Diseases	5847		16-Feb-16
1832		DSP	C0349788	Arrhythmogenic right ventricular cardiomyopathy	SNOMED CT	281170005		16-Feb-16
1832		DSP	C0878544	Cardiomyopathy	SNOMED CT	85898001		16-Feb-16
1834	DSPP		C0205730	Dentinogenesis imperfecta - Shield's type II	SNOMED CT	234969005	125490	16-Feb-16
1834	DSPP		C0399378	Dentinogenesis imperfecta - Shield's type III	SNOMED CT	234970006	125500	16-Feb-16
1834	DSPP		C1527284	Denticles	SNOMED CT	57602001	125420	16-Feb-16
1834	DSPP		C1854146	"Deafness, autosomal dominant 39, with dentinogenesis imperfecta 1"	NCBI curation		605594	16-Feb-16
667	DST		C3539003	"Neuropathy, hereditary sensory and autonomic, type VI"	ClinVar		614653	26-May-16
667	DST		C3809470	"Epidermolysis bullosa simplex, autosomal recessive 2"	NCBI curation		615425	16-Feb-16
25778	DSTYK		C0796019	Spastic paraplegia 23	Office of Rare Diseases	336	270750	16-Feb-16
25778	DSTYK		C1835826	"Congenital anomalies of kidney and urinary tract 1, susceptibility to"	NCBI curation		610805	24-Aug-16
1837	DTNA		C1858725	Left ventricular noncompaction 1	NCBI curation		604169	16-Feb-16
84062	DTNBP1		C0036341	Schizophrenia	SNOMED CT	58214004	181500	16-Feb-16
84062	DTNBP1		C3279756	Hermansky-Pudlak syndrome 7	NCBI curation		614076	16-Feb-16
84062		DTNBP1	C0079504	Hermansky-Pudlak syndrome	Genetics Home Reference	hermansky-pudlak-syndrome		16-Feb-16
84062		DTNBP1	C0079504	Hermansky-Pudlak syndrome	Office of Rare Diseases	6643		16-Feb-16
84062		DTNBP1	C0079504	Hermansky-Pudlak syndrome	SNOMED CT	9311003		16-Feb-16
50506	DUOX2		C1846632	Thyroid dyshormonogenesis 6	NCBI curation		607200	16-Feb-16
50506		DUOX2	C0010308	Congenital hypothyroidism	Office of Rare Diseases	1487		16-Feb-16
50506		DUOX2	C0010308	Congenital hypothyroidism	SNOMED CT	190268003		16-Feb-16
405753	DUOXA2		C0342196	Thyroglobulin synthesis defect	SNOMED CT	63127008	274900	16-Feb-16
1848	DUSP6		C0271623	Hypogonadotropic hypogonadism 7 with or without anosmia	NCBI curation		146110	6-Mar-16
1848	DUSP6		C3808981	Hypogonadotropic hypogonadism 19 with or without anosmia	NCBI curation		615269	16-Feb-16
1855	DVL1		C0265205	Robinow syndrome	Genetics Home Reference	robinow-syndrome	180700	16-Feb-16
1855	DVL1		C0265205	Robinow syndrome	Office of Rare Diseases	312	180700	16-Feb-16
1855	DVL1		C0265205	Robinow syndrome	SNOMED CT	76520005	180700	16-Feb-16
1855	DVL1		C4225363	"Robinow syndrome, autosomal dominant 2"	NCBI curation		616331	16-Feb-16
1857	DVL3		C4225164	"Robinow syndrome, autosomal dominant 3"	ClinVar		616894	26-May-16
54808	DYM		C0265286	Dyggve-Melchior-Clausen syndrome	Office of Rare Diseases	6295	223800	16-Feb-16
54808	DYM		C0265286	Dyggve-Melchior-Clausen syndrome	SNOMED CT	82699004	223800	16-Feb-16
54808	DYM		C1846431	Smith-McCort dysplasia 1	NCBI curation		607326	23-Oct-16
1778	DYNC1H1		C1834690	"Spinal muscular atrophy, lower extremity predominant 1, autosomal dominant"	NCBI curation		158600	16-Feb-16
1778	DYNC1H1		C3280220	"Charcot-Marie-Tooth disease, axonal, type 2O"	NCBI curation		614228	16-Feb-16
1778	DYNC1H1		C3281202	"Mental retardation, autosomal dominant 13"	"UCLA Clinical Genomics Center, UCLA"		614563	16-Feb-16
1778		DYNC1H1	C0007959	Charcot-Marie-Tooth disease	Genetics Home Reference	charcot-marie-tooth-disease		16-Feb-16
1778		DYNC1H1	C0007959	Charcot-Marie-Tooth disease	Office of Rare Diseases	6034		16-Feb-16
1778		DYNC1H1	C0007959	Charcot-Marie-Tooth disease	SNOMED CT	50548001		16-Feb-16
1778		DYNC1H1	CN043576	"Charcot-Marie-Tooth disease, type 2"	NCBI curation			16-Feb-16
51626	DYNC2LI1		C4310724	Short-rib thoracic dysplasia 15 with polydactyly	NCBI curation		617088	20-Jun-17
1859	DYRK1A		C3279839	"Mental retardation, autosomal dominant 7"	NCBI curation		614104	16-Feb-16
9149	DYRK1B		C4014361	Abdominal obesity-metabolic syndrome 3	NCBI curation		615812	16-Feb-16
8291	DYSF		C0686353	Limb-girdle muscular dystrophy	Office of Rare Diseases	6907		16-Feb-16
8291	DYSF		C0686353	Limb-girdle muscular dystrophy	Orphanet	263		16-Feb-16
8291	DYSF		C0686353	Limb-girdle muscular dystrophy	SNOMED CT	93153005		16-Feb-16
8291	DYSF		C1847532	"Myopathy, distal, with anterior tibial onset"	"UCLA Clinical Genomics Center, UCLA"		606768	16-Feb-16
8291	DYSF		C1850808	Miyoshi muscular dystrophy 1	"UCLA Clinical Genomics Center, UCLA"		254130	16-Feb-16
8291	DYSF		C1850889	"Limb-girdle muscular dystrophy, type 2B"	Office of Rare Diseases	8574	253601	16-Feb-16
8291	DYSF		C1850889	"Limb-girdle muscular dystrophy, type 2B"	"UCLA Clinical Genomics Center, UCLA"		253601	16-Feb-16
8291		DYSF	C2931687	Dysferlinopathy	GeneTests	53699		16-Feb-16
8291		DYSF	C2931687	Dysferlinopathy	Office of Rare Diseases	2003		16-Feb-16
8291		DYSF	C2931907	"Limb-girdle muscular dystrophy, autosomal recessive"	"NCBI, ClinVar"			16-Feb-16
124454	EARS2		C3554079	Combined oxidative phosphorylation deficiency 12	NCBI curation		614924	16-Feb-16
253738	EBF3		C4310618	"Hypotonia, ataxia, and delayed development syndrome"	NCBI curation		617330	20-Jun-17
10682	EBP		C0282102	Chondrodysplasia punctata 2 X-linked dominant	Office of Rare Diseases	6189	302960	16-Feb-16
10682	EBP		C4085243	MEND syndrome	NCBI curation		300960	16-Feb-16
1889	ECE1		C0085580	Essential hypertension	SNOMED CT	59621000	145500	16-Feb-16
1889	ECE1		C3151237	"Hirschsprung disease, cardiac defects, and autonomic dysfunction"	NCBI curation		613870	16-Feb-16
1889		ECE1	C0019569	Hirschsprung disease	CSER_CC_NCGL; University of Washington Medical Center	UWMG_2996999		13-Jan-17
1889		ECE1	C0019569	Hirschsprung disease	CSER_CC_NCGL; University of Washington Medical Center	UWMG_6421029		13-Jan-17
1889		ECE1	C0019569	Hirschsprung disease	GeneTests	3084		13-Jan-17
1889		ECE1	C0019569	Hirschsprung disease	Orphanet	388		13-Jan-17
9427	ECEL1		C3554415	"Arthrogryposis, distal, type 5d"	NCBI curation		615065	16-Feb-16
1892	ECHS1		C4225391	Mitochondrial short-chain enoyl-coa hydratase 1 deficiency	NCBI curation		616277	16-Feb-16
1893	ECM1		C0023795	Lipid proteinosis	SNOMED CT	38692000	247100	16-Feb-16
1896	EDA		C0162359	Hypohidrotic X-linked ectodermal dysplasia	SNOMED CT	239007005	305100	16-Feb-16
1896	EDA		C1970757	"Tooth agenesis, selective, X-linked, 1"	NCBI curation		313500	16-Feb-16
1896		EDA	C1706004	Hypohidrotic ectodermal dysplasia	Office of Rare Diseases	76		1-Jun-16
1896		EDA	C1706004	Hypohidrotic ectodermal dysplasia	Orphanet	238468		1-Jun-16
10913	EDAR		C0406702	Autosomal recessive hypohidrotic ectodermal dysplasia syndrome	SNOMED CT	27025001	224900	16-Feb-16
10913	EDAR		C1720965	Autosomal dominant hypohidrotic ectodermal dysplasia	NCBI curation		129490	16-Feb-16
10913	EDAR		C2675460	Hair morphology 1	NCBI curation		612630	16-Feb-16
10913		EDAR	C1706004	Hypohidrotic ectodermal dysplasia	Office of Rare Diseases	76		1-Jun-16
10913		EDAR	C1706004	Hypohidrotic ectodermal dysplasia	Orphanet	238468		1-Jun-16
10913		EDAR	CN118829	Autosomal hypohidrotic ectodermal dysplasia	NCBI curation			16-Feb-16
128178	EDARADD		C0406702	Autosomal recessive hypohidrotic ectodermal dysplasia syndrome	SNOMED CT	27025001	224900	16-Feb-16
128178	EDARADD		C1720965	Autosomal dominant hypohidrotic ectodermal dysplasia	NCBI curation		129490	16-Feb-16
128178	EDARADD		C3539920	"Ectodermal dysplasia 11b, hypohidrotic/hair/tooth type, autosomal recessive"	NCBI curation		614941	16-Feb-16
128178	EDARADD		C3541517	"Ectodermal dysplasia 11a, hypohidrotic/hair/tooth type, autosomal dominant"	NCBI curation		614940	16-Feb-16
128178		EDARADD	C1706004	Hypohidrotic ectodermal dysplasia	Office of Rare Diseases	76		1-Jun-16
128178		EDARADD	C1706004	Hypohidrotic ectodermal dysplasia	Orphanet	238468		1-Jun-16
128178		EDARADD	CN118829	Autosomal hypohidrotic ectodermal dysplasia	NCBI curation			16-Feb-16
80153	EDC3		C4225319	"Mental retardation, autosomal recessive 50"	NCBI curation		616460	16-Feb-16
1906	EDN1		C2748545	"Question mark ears, isolated"	NCBI curation		612798	16-Feb-16
1906	EDN1		C3810332	Auriculocondylar syndrome 3	NCBI curation		615706	16-Feb-16
1906		EDN1	CN160484	Auriculocondylar syndrome	NCBI curation			16-Feb-16
1908	EDN3		C1275808	Congenital central hypoventilation	SNOMED CT	399040002	209880	16-Feb-16
1908	EDN3		C2750457	Waardenburg syndrome type 4B	NCBI curation		613265	16-Feb-16
1908	EDN3		C3150975	Hirschsprung disease 4	NCBI curation		613712	16-Feb-16
1908		EDN3	C0019569	Hirschsprung disease	CSER_CC_NCGL; University of Washington Medical Center	UWMG_2996999		13-Jan-17
1908		EDN3	C0019569	Hirschsprung disease	CSER_CC_NCGL; University of Washington Medical Center	UWMG_6421029		13-Jan-17
1908		EDN3	C0019569	Hirschsprung disease	GeneTests	3084		13-Jan-17
1908		EDN3	C0019569	Hirschsprung disease	Orphanet	388		13-Jan-17
1908		EDN3	C0236038	Hereditary hearing loss and deafness	GeneTests	53589		16-Feb-16
1909	EDNRA		C0149931	Migraine	SNOMED CT	37796009	157300	16-Feb-16
1909	EDNRA		C4225349	Mandibulofacial dysostosis with alopecia	NCBI curation		616367	16-Feb-16
1910	EDNRB		C1838099	ABCD syndrome	Office of Rare Diseases	335	600501	16-Feb-16
1910	EDNRB		C1838564	Hirschsprung disease 2	NCBI curation		600155	16-Feb-16
1910	EDNRB		C1848519	Waardenburg syndrome type 4A	NCBI curation		277580	16-Feb-16
1910		EDNRB	C0019569	Hirschsprung disease	CSER_CC_NCGL; University of Washington Medical Center	UWMG_2996999		13-Jan-17
1910		EDNRB	C0019569	Hirschsprung disease	CSER_CC_NCGL; University of Washington Medical Center	UWMG_6421029		13-Jan-17
1910		EDNRB	C0019569	Hirschsprung disease	GeneTests	3084		13-Jan-17
1910		EDNRB	C0019569	Hirschsprung disease	Orphanet	388		13-Jan-17
1910		EDNRB	C0236038	Hereditary hearing loss and deafness	GeneTests	53589		16-Feb-16
8726	EED		CN314204	COHEN-GIBSON SYNDROME	OMIM	617561	617561	13-Jul-17
1917	EEF1A2		C4225337	"Epileptic encephalopathy, early infantile, 33"	"Genetic Services Laboratory, University of Chicago"	NM_001958.2(EEF1A2):c.364G>A	616409	16-Feb-16
1917	EEF1A2		C4225343	"Mental retardation, autosomal dominant 38"	NCBI curation		616393	16-Feb-16
1938	EEF2		C1836395	Spinocerebellar ataxia 26	Office of Rare Diseases	9995	609306	16-Feb-16
2202	EFEMP1		C1832174	Doyne honeycomb retinal dystrophy	Office of Rare Diseases	1912	126600	16-Feb-16
30008	EFEMP2		C3280798	Autosomal recessive cutis laxa type 1B	NCBI curation		614437	16-Feb-16
30008		EFEMP2	C0268351	"Cutis laxa, autosomal recessive"	SNOMED CT	59451000		16-Feb-16
114327	EFHC1		C0014553	Epilepsy juvenile absence	Office of Rare Diseases	2162	607631	16-Feb-16
114327	EFHC1		C1850778	Juvenile myoclonic epilepsy	Office of Rare Diseases	6808	254770	16-Feb-16
114327		EFHC1	C0270850	Idiopathic generalized epilepsy	SNOMED CT	36803009	600669	16-Feb-16
1947	EFNB1		C0220767	Craniofrontonasal dysplasia	Office of Rare Diseases	1578	304110	16-Feb-16
9343	EFTUD2		C1864652	"Growth and mental retardation, mandibulofacial dysostosis, microcephaly, and cleft palate"	Office of Rare Diseases	10056	610536	16-Feb-16
9343	EFTUD2		C1864652	"Growth and mental retardation, mandibulofacial dysostosis, microcephaly, and cleft palate"	"UCLA Clinical Genomics Center, UCLA"		610536	16-Feb-16
1950	EGF		C2673648	"Hypomagnesemia 4, renal"	NCBI curation		611718	16-Feb-16
1956	EGFR		C0684249	Lung cancer	SNOMED CT	187875007	211980	16-Feb-16
1956	EGFR		C4015130	"Inflammatory skin and bowel disease, neonatal, 2"	NCBI curation		616069	16-Feb-16
1956		EGFR	C0024121	Neoplasm of lung	SNOMED CT	126713003		16-Feb-16
54583	EGLN1		C1836778	"Hemoglobin, high altitude adaptation"	NCBI curation		609070	24-Aug-16
54583	EGLN1		C1853286	"Erythrocytosis, familial, 3"	NCBI curation		609820	16-Feb-16
54583		EGLN1	C0152264	Familial erythrocytosis	SNOMED CT	17342003		16-Feb-16
1959	EGR2		C0011195	Dejerine-Sottas disease	SNOMED CT	111499002	145900	16-Feb-16
1959	EGR2		C0011195	Dejerine-Sottas disease	"UCLA Clinical Genomics Center, UCLA"		145900	16-Feb-16
1959	EGR2		C0393818	Congenital hypomyelinating neuropathy	GeneTests	23401	605253	16-Feb-16
1959	EGR2		C0393818	Congenital hypomyelinating neuropathy	SNOMED CT	230562000	605253	16-Feb-16
1959	EGR2		C0393818	Congenital hypomyelinating neuropathy	"UCLA Clinical Genomics Center, UCLA"		605253	16-Feb-16
1959	EGR2		C1843247	"Charcot-Marie-Tooth disease, demyelinating, type 1d"	NCBI curation		607678	24-Aug-16
1959		EGR2	C0007959	Charcot-Marie-Tooth disease	Genetics Home Reference	charcot-marie-tooth-disease		16-Feb-16
1959		EGR2	C0007959	Charcot-Marie-Tooth disease	Office of Rare Diseases	6034		16-Feb-16
