rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	Expected P-Value	genes	
284	Gastric ulcer	C0038358	15	116	2.55809817773e-11	5.095084320057409e-05	0.000141837495669	PDGFRB,EGFR,MET,HGF,SOS1,FGF2,PDGFRA,FGFR1,ANGPT1,EGF,IL2,NRG1,PDGFA,TEK,FGFR2
285	Chronic myelomonocytic leukemia	C0023480	17	115	2.58174592815e-11	5.113024757804091e-05	7.03468490474e-05	CBL,HRAS,PDGFRB,KIT,ABL1,IL3RA,PDGFRA,FGFR1,CSF2,RET,KRAS,KITLG,HIP1,PTPN11,GRB2,JAK2,NRAS
286	Schwannoma	C0027809	20	132	2.5989765895e-11	5.1309651955507714e-05	0.000125766871166	HRAS,PDGFRB,EGFR,SLIT2,KIT,PTK2,EREG,ERBB2,ANGPT1,RET,ERBB4,HGS,KRAS,PIK3CB,PIK3CA,CTTN,EGF,NRG1,TEK,IL2RB
287	Myeloproliferative disorder (2)	C1292778	17	165	2.60752530679e-11	5.148905633297452e-05	0.000163464779238	CBL,JAK1,PDGFRB,FGFR4,KIT,ABL1,PDGFRA,FGFR1,CSF2,RET,PIK3CB,PIK3CA,PTPN11,ABCB1,JAK2,NRAS,TEK
288	Melanocytic nevus	C0027962	16	185	2.63720156823e-11	5.166846071044134e-05	0.000151163610906	HRAS,HSP90AA1,EGFR,KIT,LRP2,HGF,SOS1,FGF2,ERBB2,KRAS,PIK3CA,PTPN11,FGFR3,EGF,NRAS,FGFR2
289	Seizures, Febrile	C0036572	47	1535	2.64808175388e-11	5.184786508790815e-05	0.000115151515152	GDNF,HRAS,FGF17,GRIN2B,PDGFRB,EGFR,DIAPH1,SLIT2,SPTAN1,LRP2,GRIN2A,HGF,FGF2,FGF8,KIAA0319,FGFR1,DNAJC6,OCRL,CSF2,GRIN1,ANGPT1,RET,ERBB4,CAMK2D,FGF23,KRAS,PDGFB,PIK3CB,PIK3CA,SYT1,UBB,HIP1,ABCB1,FGFR3,SCARB2,EGF,PIK3R2,GRIN2C,NRG1,AVPR2,JAK2,NRAS,AVP,SYNJ1,FGFR2,NCAM1,ADRB2
290	Papillary thyroid carcinoma	C0238463	27	451	2.73341349555e-11	5.2027269465374956e-05	0.000117948717949	HRAS,PDGFRB,HSP90AA1,EGFR,WNT5A,SPRY2,KIT,CALM3,MET,IL2RA,HGF,ABL1,SOS1,FGF2,PDGFRA,ERBB2,RET,ERBB4,KRAS,PIK3CB,PIK3CA,EGF,IL2,NRG1,NRAS,TEK,NCAM1
291	Thyroid cancer, nonmedullary, 4	C0007115	27	453	2.73711053822e-11	5.220667384284176e-05	0.000111181301327	GDNF,HRAS,HSP90AA1,FGFR4,EGFR,SPRY2,MET,HGF,FGF2,ERBB2,FGFR1,RET,KRAS,PIK3CB,PIK3CA,SYT1,KITLG,SHC3,EGF,IL2,AKAP9,NRG1,SRC,NRAS,TEK,FGFR2,NCAM1
292	Schizophrenia	C0036341	68	1947	2.74703593206e-11	5.2386078220308577e-05	5.24360033031e-05	IL3,GDNF,GRIN2B,PDGFRB,HSP90AA1,SPTAN1,PTK2,GFRA2,CSF2RA,APOB,ROBO1,VAMP2,GRIN2A,CHRM2,CALM3,DLG4,MET,IL2RA,CAMK2B,IL2RG,GFRA1,IRS1,IL3RA,ARRB2,SOS1,TF,GPC1,NRG2,KIAA0319,FGFR1,DNAJC6,CSF2,GRIN1,RET,DNM2,ERBB4,RANBP9,SPTBN2,CLTB,PIK3CB,SH3GL2,PIK3CA,NEFL,CDC42,ABCB1,GFRA3,ERBB3,ACTR2,CSF2RB,PTPRA,EGF,IL2,GRB2,BTC,CAMK2A,GRIN2C,NRG1,GRIN2D,STON2,AVP,FYN,RASGRF1,FGF1,ARTN,FGFR2,NCAM1,PIK3C2A,IL2RB
293	Xenograft Model	C1520166	31	551	2.74746891904e-11	5.256548259777539e-05	0.000128229773113	JAK1,PDGFRB,HSP90AA1,EGFR,WNT5A,SPRY2,KIT,CALM3,MET,IL2RA,HGF,ABL1,IL3RA,FGF2,PDGFRA,ERBB2,FGFR1,ANGPT1,RET,KRAS,RASGRP3,PIK3CB,TFRC,PIK3CA,SYT1,ABCB1,FGFR3,IL2,JAK2,TEK,PTK6
294	Immunodeficiency due to defect in CD3-gamma	C0021051	29	571	2.83203460683e-11	5.27448869752422e-05	0.000152887537994	IL3,CD3G,HRAS,EGFR,JAK3,FRS2,PIK3R1,LAT,MET,IL2RA,IL2RG,HGF,ABL1,IL3RA,VAMP8,ERBB2,CSF2,ANGPT1,CD3D,KRAS,RASGRP3,PIK3CB,PIK3CA,ERBB3,EGF,IL2,JAK2,RASGRF1,IL2RB
295	Hematopoietic Neoplasms	C0376544	18	168	2.93808311014e-11	5.2924291352709005e-05	0.000226254063917	GDNF,WNT5A,SPRY2,KIT,CALM3,FGF3,ABL1,FGF2,PDGFRA,PICALM,RET,TFRC,HIP1,ABCB1,PTPRA,IL2,JAK2,NCAM1
296	Neoplasm Invasiveness	C0027626	17	168	2.9733437934e-11	5.310369573017582e-05	0.00019652623686	GDNF,HRAS,EGFR,PTK2,MET,HGF,TF,ANGPT1,KRAS,PIK3CA,FGFR3,EGF,NRG1,SRC,NRAS,NCAM1,FGF16
297	Carcinoma breast stage IV	C0278488	24	342	3.00363067751e-11	5.3283100107642626e-05	0.00023829787234	HSP90AA1,EGFR,SPRY1,GPNMB,MET,HGF,ABL1,SOS1,PICALM,ERBB2,FGFR1,LDLRAP1,CSF2,ERBB4,KRAS,PIK3CB,PIK3CA,CDC42,ABCB1,ERBB3,EGF,IL2,SRC,FGFR2
298	Verotoxigenic Escherichia coli gastrointestinal tract infection	C0009450	43	1111	3.01016989113e-11	5.346250448510944e-05	6.66233344166e-05	CBL,KL,IL3,JAK1,HRAS,HSP90AA1,EGFR,WNT5A,IGF2R,HBEGF,APOB,IL2RA,HGF,ABL1,IRS1,IL3RA,FGF2,PDGFRA,ERBB2,CSF2,IL5RA,DNM2,CD4,M6PR,PDGFB,PIK3CA,SYT1,NEFL,PTPN11,ABCB1,CTTN,IL5,IL2,SH3KBP1,FGF4,JAK2,SRC,NRAS,FGF1,NCAM1,IL2RB,ADRB2,PTK6
299	Tuberous sclerosis syndrome	C0041341	19	192	3.01990654705e-11	5.3641908862576247e-05	8.29439421073e-05	HRAS,PDGFRB,EGFR,CALM3,HGF,ABL1,IRS1,KIAA0319,CSF2,KRAS,PIK3CB,TFRC,PIK3CA,NEFL,ABCB1,FGFR3,EGF,GRIN2C,NRAS
300	Acute myeloid leukemia	C0023467	62	1733	3.03616021213e-11	5.382131324004306e-05	9.00052328624e-05	CBL,KL,IL3,JAK1,GDNF,CD3G,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,JAK3,WNT5A,RASGRP4,FZD4,KIT,CALM3,MET,IL2RA,FGF3,HGF,ABL1,IL3RA,SOS1,FGF2,PDGFRA,PICALM,FGFR1,LDLRAP1,CSF2,ANGPT1,RET,AP2A1,KRAS,FNBP1,PDGFB,PIK3CB,TFRC,PIK3CA,SYT1,KITLG,PTPN11,RASGRP1,ABCB1,SPTBN1,CSF2RB,IL5,PTPRA,EGF,IL2,FGF4,JAK2,SRC,EPS15,NRAS,PLCG1,RASGRF1,FGF1,TEK,FGFR2,NCAM1,IL2RB
302	Alcohol dependence	C0001973	33	675	3.10161896167e-11	5.4180121994976675e-05	5.72191166624e-05	GRIN2B,FGFR4,TGOLN2,MEMO1,AP2B1,PIK3R1,DAB2,LRP2,GRIN2A,CHRM2,DLG4,FGF5,ABL1,SGIP1,TF,KIAA0319,ACTN2,GRIN1,RET,CAMK2D,KRAS,PIK3CB,PIK3CA,NEFL,HIP1,ABCB1,EGF,CAMK2A,STON2,AVP,FYN,NCAM1,ADRB2
303	Endometrial carcinoma	C0476089	31	726	3.14350767638e-11	5.4359526372443495e-05	9.19004508445e-05	JAK1,FGF9,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,IGF2R,SPRY2,FGF7,KIT,PIK3R1,DAB2,MET,FGF3,HGF,FGF2,ERBB2,CSF2,KRAS,PIK3CB,PIK3CA,KITLG,ABCB1,ERBB3,PTPRA,EGF,PIK3R2,SRC,FGF10,FGFR2
304	Multiple Myeloma	C0026764	54	1236	3.14828163539e-11	5.45389307499103e-05	9.45463420831e-05	IL3,JAK1,HRAS,HSP90AA1,FGFR4,EGFR,JAK3,WNT5A,SPRY2,KIT,PTK2,IRS2,PIK3R1,CALM3,MET,IL2RA,HGF,ABL1,IRS1,SOS1,FGF2,CDC37,ERBB2,FGFR1,LDLRAP1,CSF2,ANGPT1,CD4,KRAS,PDGFB,PIK3CB,TFRC,PIK3CA,SYT1,KITLG,ABCB1,FGFR3,ERBB3,IL5,GAB1,PTPRA,EGF,IL2,PIK3R2,GRB2,FGF4,JAK2,NRAS,SLC2A8,FGF1,FGFR2,NCAM1,IL2RB,ADRB2
305	Colorectal Neoplasms	C0009404	43	1164	3.14900328036e-11	5.471833512737711e-05	0.000119528619529	JAK1,HRAS,PDGFRB,HSP90AA1,EGFR,SLIT2,FGF7,KIT,PTK2,GPNMB,ROBO1,GRIN2A,MET,HGF,ABL1,IRS1,SOS1,FGF2,PDGFRA,ERBB2,FGFR1,CSF2,RET,ERBB4,KRAS,PDGFB,PIK3CB,TFRC,PIK3CA,CDC42,KITLG,ABCB1,FGFR3,CTTN,ERBB3,ACTR2,EGF,SRC,NRAS,FGF20,PLCG1,RASGRF1,FGFR2
306	Neoplasm of the skin	C0037286	25	438	3.15407699958e-11	5.4897739504843916e-05	0.000153191489362	GDNF,HRAS,PDGFRB,FGFR4,EGFR,SLIT2,KIT,PIK3R1,HGF,SOS1,PDGFRA,ERBB2,FGFR1,OCRL,RET,ERBB4,KRAS,PDGFB,PIK3CA,ABCB1,FGFR3,EGF,NRAS,FGFR2,NCAM1
307	Severe combined immunodeficiency due to ADA deficiency	C0085110	35	545	3.21223048161e-11	5.507714388231073e-05	9.74120891661e-05	IL3,CD3G,HRAS,FGFR4,EGFR,JAK3,DIAPH1,ROBO1,AGFG1,MET,IL2RA,FGF3,IL2RG,HGF,ABL1,FGF2,PDGFRA,PICALM,ERBB2,CSF2,RET,CD3D,KRAS,TFRC,KITLG,ABCB1,ACTR2,IL5,IL2,JAK2,NRAS,ARRB1,TEK,NCAM1,IL2RB
308	Tumor Angiogenesis	C1519670	28	443	3.22902815597e-11	5.525654825977754e-05	5.94454487357e-05	HSP90AA1,EGFR,WNT5A,SLIT2,FGF7,FZD4,HBEGF,DAB2,MET,HGF,IRS1,SOS1,FGF2,ERBB2,FGFR1,CSF2,ANGPT1,PIK3CB,PIK3CA,FGFR3,CTTN,EGF,NRG1,JAK2,NRAS,ARRB1,ARTN,TEK
310	Glioblastoma	C0017636	64	1645	3.33180150136e-11	5.561535701471116e-05	6.25214633911e-05	GDNF,FGF9,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,WNT5A,MATK,FZD4,KIT,HBEGF,PTK2,IRS2,ACTR3,PIK3R1,CLTC,LAT,CALM3,SHC1,MET,IL2RA,FGF5,HGF,ABL1,IRS1,SOS1,TF,FGF2,EREG,PDGFRA,ERBB2,FGFR1,DVL2,CSF2,ANGPT1,DNM2,ERBB4,KRAS,PDGFB,RASGRP3,PIK3CB,SH3GL2,PIK3CA,SYT1,NEFL,CDC42,PTPN11,SHC3,ABCB1,FGFR3,ERBB3,GAB1,EGF,IL2,JAK2,SRC,PDGFA,NRAS,ARRB1,RASGRF1,ARTN,FGFR2,NCAM1
311	Neurofibromatosis, type 1, 162200 (3)	C0027831	19	152	3.33342242698e-11	5.579476139217797e-05	0.000107075173721	GDNF,HRAS,EGFR,SPRY2,SPRY1,KIT,APOB,HGF,PDGFRA,ERBB2,RET,KRAS,PIK3CB,PIK3CA,CDC42,KITLG,PTPN11,EGF,JAK2
312	Eosinophilia	C0014457	16	175	3.34041683203e-11	5.597416576964478e-05	0.000199372056515	IL3,PDGFRB,KIT,IL2RA,IL2RG,ABL1,PDGFRA,FGFR1,CSF2,IL5RA,CD4,KRAS,IL5,IL2,JAK2,ADRB2
313	Neoplasm of the central nervous system	C0085136	14	145	3.39055450382e-11	5.6153570147111586e-05	0.000285314685315	GDNF,PDGFRB,EGFR,HGF,SOS1,ERBB2,FGFR1,OCRL,RET,KRAS,PDGFB,PIK3CA,PTPN11,NRAS
314	Squamous cell carcinoma of lung	C0149782	17	192	3.39704930852e-11	5.633297452457841e-05	0.000174825174825	ARPC5,HRAS,PDGFRB,EGFR,IGF2R,PTK2,MET,ERBB2,FGFR1,AP2M1,CSF2,KRAS,PIK3CA,ABCB1,FGFR3,ERBB3,FGFR2
315	Thyroid carcinoma	C0549473	36	659	3.40365513551e-11	5.6512378902045214e-05	0.000174734375035	GDNF,HRAS,HSP90AA1,FGFR4,EGFR,SPRY2,FRS2,GFRA2,MET,HGF,GFRA1,ABL1,SOS1,FGF2,ERBB2,FGFR1,RET,DNM2,KRAS,PIK3CB,PIK3CA,SYT1,KITLG,SHC3,ABCB1,GFRA3,EGF,IL2,AKAP9,NRG1,SRC,PDGFA,NRAS,TEK,FGFR2,NCAM1
316	Neoplasms	C0027651	31	646	3.41839889728e-11	5.669178327951202e-05	0.000149923396805	CBL,GDNF,HRAS,PDGFRB,EGFR,IGF2R,FCHO1,KIT,AP2S1,PIK3R1,MET,IL2RG,ABL1,SOS1,PDGFRA,ERBB2,FGFR1,OCRL,RET,KRAS,PDGFB,PIK3CA,NRTN,PTPN11,FGFR3,VAMP7,JAK2,SRC,NRAS,TEK,FGFR2
317	Adenocarcinoma of lung	C0152013	35	815	3.46185302647e-11	5.687118765697883e-05	7.58758878783e-05	TRIP10,FGF9,HSP90AA1,FGFR4,EGFR,KIT,PTK2,LAT,MET,RAB5A,HGF,ABL1,TF,FGF2,EREG,ERBB2,FGFR1,ANGPT1,RET,KRAS,PIK3CB,PIK3CA,SYT1,KITLG,ABCB1,FGFR3,ERBB3,EGF,IL2,NRG1,SRC,NRAS,FGFR2,NCAM1,ADRB2
319	Hematological neoplasm	C0376545	30	615	3.53922446905e-11	5.7229996411912456e-05	8.65430337613e-05	CBL,IL3,JAK1,PDGFRB,HSP90AA1,EGFR,JAK3,FGF7,KIT,GPNMB,CALM3,IL2RG,ABL1,PDGFRA,PICALM,ERBB2,FGFR1,LDLRAP1,CSF2,RET,KRAS,PIK3CB,PIK3CA,PTPN11,ABCB1,FGFR3,IL2,JAK2,NRAS,NCAM1
320	Pancreatic Neoplasms	C0030297	44	750	3.57228691072e-11	5.740940078937926e-05	9.75072342914e-05	GDNF,HRAS,PDGFRB,HSP90AA1,EGFR,WNT5A,IGF2R,SLIT2,FGF7,KIT,IRS2,PIK3R1,DAB2,MET,HGF,IRS1,FGF2,GPC1,PDGFRA,ERBB2,ARPC1A,ANGPT1,RET,DNM2,ERBB4,KRAS,PDGFB,PIK3CB,PIK3CA,PTPN11,ABCB1,FGFR3,EGF,IL2,NRG1,JAK2,SRC,PDGFA,NRAS,FGF10,TEK,FGFR2,NCAM1,ADRB2
321	Chronic Lymphocytic Leukemia	C0023434	44	1176	3.57847085297e-11	5.758880516684607e-05	9.31160625208e-05	TRIP10,IL3,JAK1,PDGFRB,HSP90AA1,FGFR4,EGFR,JAK3,IGF2R,PTK2,CSF2RA,CALM3,MET,IL2RA,IL2RG,HGF,ABL1,FGF2,PDGFRA,PICALM,CDC37,ERBB2,HIP1R,CSF2,IL5RA,CAMK2D,PIK3CB,TFRC,PIK3CA,SYT1,SHC3,ABCB1,FGFR3,CTTN,IL5,GAB1,EGF,IL2,FGF4,JAK2,SRC,NRAS,RASGRF1,ADRB2
322	Lung cancer	C0684249	67	2234	3.70012909201e-11	5.7768209544312884e-05	9.55870379417e-05	KL,JAK1,GDNF,FGF9,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,WNT5A,IGF2R,SPRY2,MATK,SLIT2,KIT,HBEGF,PTK2,IRS2,ROBO1,PIK3R1,DAB2,CALM3,SHC1,MET,IL2RA,FGF3,RAB5A,HGF,ABL1,REPS1,IRS1,SOS1,FGF2,ERBB2,FGFR1,CSF2,ANGPT1,RET,ERBB4,AP2A1,KRAS,PDGFB,PIK3CB,TFRC,PIK3CA,CDC42,KITLG,PTPN11,SHC3,ABCB1,FGFR3,ERBB3,GAB1,PTPRA,EGF,IL2,NRG1,JAK2,SRC,PDGFA,NRAS,AVP,FGF10,ARRB1,FGFR2,NCAM1,ADRB2
323	B-cell lymphoma	C0079731	31	652	3.72275543725e-11	5.794761392177969e-05	7.05206561045e-05	CBL,HSP90AA1,FGFR4,EGFR,WNT5A,SPRY2,KIT,IRS2,CLTC,IL2RA,FGF3,HGF,ABL1,FGF2,ERBB2,FGFR1,CSF2,ANGPT1,PIK3CB,PIK3CA,CDC42,HIP1,PTPN11,ABCB1,FGFR3,IL5,IL2,JAK2,NRAS,TEK,NCAM1
324	Idiopathic hypereosinophilic syndrome	C0206141	10	28	3.7290504018e-11	5.81270182992465e-05	0.000149156441718	IL3,PDGFRB,KIT,ABL1,PDGFRA,FGFR1,CSF2,IL5,IL2,JAK2
325	Noonan syndrome with multiple lentigines	C0175704	9	37	3.75609543468e-11	5.830642267671331e-05	0.000102375102375	GPNMB,IRS1,SOS1,KRAS,PIK3CB,PIK3CA,PTPN11,GAB1,EGF
326	Ovarian Neoplasms	C0919267	46	942	3.76675357572e-11	5.8485827054180126e-05	8.53488268332e-05	HRAS,PDGFRB,FGFR4,EGFR,IGF2R,FGF7,KIT,HBEGF,PTK2,ACTR3,PIK3R1,DAB2,MET,HGF,IRS1,SOS1,FGF2,GPC1,EREG,PDGFRA,FGF8,ERBB2,CSF2,ERBB4,KRAS,PDGFB,PIK3CB,PIK3CA,KITLG,ABCB1,CTTN,ERBB3,ACTR2,EGF,IL2,GRB2,VAMP7,NRG1,JAK2,SRC,NRAS,RASGRF1,FGF1,FGFR2,FGF16,PTK6
328	Secondary malignant neoplasm of pancreas	C3266877	52	1540	3.87841980753e-11	5.884463580911374e-05	6.53562653563e-05	FGF9,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,WNT5A,SPRY2,SLIT2,FGF7,KIT,PTK2,GPNMB,ROBO1,DAB2,CALM3,MET,FGF3,FGF5,HGF,REPS1,IRS1,SOS1,FGF2,EREG,PDGFRA,ERBB2,FGFR1,CSF2,ANGPT1,RET,DNM2,ERBB4,KRAS,PIK3CB,PIK3CA,NEFL,CDC42,PTPN11,ABCB1,CTTN,ERBB3,ACTR2,EGF,IL2,SRC,PDGFA,NRAS,PLCG1,TEK,FGFR2,NCAM1
329	Seborrheic keratosis	C0022603	9	27	3.88674648022e-11	5.9024040186580554e-05	0.000147307521139	HRAS,EGFR,PIK3R1,FGF3,KRAS,PIK3CA,FGFR3,NRAS,FGFR2
330	Leukemia, Lymphocytic, Chronic, B-Cell	C0023418	68	1913	3.9300895871e-11	5.920344456404737e-05	8.90416780744e-05	CBL,IL3,JAK1,CD3G,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,JAK3,WNT5A,DIAPH1,MATK,KIT,FGF6,GPNMB,PIK3R1,CALM3,MET,IL2RA,FGF3,IL2RG,HGF,ABL1,REPS1,IL3RA,SOS1,TF,FGF2,PDGFRA,PICALM,ERBB2,FGFR1,CSF2,ANGPT1,RET,CD3D,FGF23,KRAS,FNBP1,PDGFB,PTPN12,PIK3CB,TFRC,PIK3CA,SYT1,KITLG,PTPN11,ABCB1,FGFR3,CSF2RB,IL5,PTPRA,IL2,GRB2,FGF4,JAK2,SRC,EPS15,PACSIN2,NRAS,PLCG1,FGF1,ARTN,TEK,NCAM1,IL2RB,ADRB2
333	Colorectal cancer 1	C0009402	73	2543	3.97279986686e-11	5.9741657696447796e-05	0.000115810674723	KL,GDNF,FGF9,HRAS,GRIN2B,PDGFRB,HSP90AA1,FGFR4,EGFR,WNT5A,IGF2R,DIAPH1,SLIT2,FGF7,KIT,HBEGF,PTK2,IRS2,FGF6,GPNMB,ROBO1,GRIN2A,MET,FGF3,WASL,HGF,ABL1,IRS1,SOS1,FGF2,EREG,PDGFRA,FGF8,ERBB2,FGFR1,DVL2,LDLRAP1,CSF2,ANGPT1,RET,ERBB4,FGF18,HGS,KRAS,PIK3CB,TFRC,PIK3CA,SYT1,CDC42,KITLG,RASGRP1,ABCB1,FGFR3,CTTN,ERBB3,SPTBN1,ACTR2,EGF,IL2,GRB2,AKAP9,FGF4,JAK2,SRC,NRAS,AVP,PLCG1,RASGRF1,ARTN,TEK,FGFR2,NCAM1,IL2RB
334	Renal cell carcinoma, nonpapillary	C0007134	47	1418	3.97903932026e-11	5.99210620739146e-05	9.16750926862e-05	KL,SPTBN4,PDGFRB,HSP90AA1,FGFR4,EGFR,SLIT2,KIT,PTK2,GPNMB,ROBO1,PIK3R1,CLTC,LAT,LRP2,CALM3,MET,IL2RA,FGF5,RAB5A,HGF,ABL1,VAMP8,SOS1,FGF2,ERBB2,CSF2,ANGPT1,ERBB4,M6PR,KRAS,PIK3CB,TFRC,PIK3CA,CDC42,KITLG,ABCB1,FGFR3,ERBB3,EGF,IL2,LRRK2,JAK2,SRC,PDGFA,NRAS,TEK
335	 Adenocarcinoma, ovarian, somatic, 167000 (3)	C0001418	60	1700	4.00844912818e-11	6.010046645138142e-05	0.000100309395864	TRIP10,FGF9,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,WNT5A,IGF2R,SPRY2,SLIT2,FGF7,KIT,HBEGF,PTK2,IRS2,GPNMB,ROBO1,CALM3,MET,FGF3,FGF5,HGF,ABL1,IRS1,ARRB2,SOS1,FGF2,EREG,PDGFRA,ERBB2,FGFR1,CSF2,ANGPT1,RET,ERBB4,KRAS,PIK3CB,PIK3CA,SYT1,PTPN11,ABCB1,FGFR3,CTTN,ERBB3,IL5,EGF,IL2,UBC,NRG1,PDGFA,NRAS,AVP,PLCG1,FYN,FGF1,FGFR2,NCAM1,ADRB2,PTK6
337	Benign Prostatic Hyperplasia	C1704272	24	423	4.07778255607e-11	6.045927520631504e-05	9.88254353989e-05	IL3,FGF9,FGF17,FGFR4,EGFR,SPRY2,FGF7,KIT,MET,FGF2,CDC37,ERBB2,FGFR1,CSF2,FGF23,KRAS,ABCB1,FGFR3,ERBB3,EGF,IL2,JAK2,FYN,FGFR2
338	Non-small cell lung carcinoma	C0007131	70	1993	4.15857348557e-11	6.0638679583781845e-05	8.58034015889e-05	TRIP10,JAK1,GDNF,FGF9,HRAS,GRIN2B,PDGFRB,HSP90AA1,FGFR4,EGFR,WNT5A,IGF2R,SPRY2,KIT,PTK2,ROBO1,PIK3R1,DAB2,LAT,AGFG1,CALM3,MET,IL2RA,RAB5A,HGF,REPS1,IRS1,REPS2,SOS1,TF,FGF2,FRS3,EREG,PDGFRA,ERBB2,FGFR1,CSF2,ANGPT1,RET,ERBB4,CAMK2D,KRAS,PIK3CB,SH3GL2,PIK3CA,SYT1,CDC42,KITLG,HIP1,PTPN11,ABCB1,FGFR3,GFRA3,ERBB3,PTPRA,EGF,IL2,PIK3R2,NRG1,JAK2,SRC,EPS15,NRAS,AVP,ARRB1,RASGRF1,ARTN,TEK,FGFR2,NCAM1
339	Malignant neoplasm of lung	C0242379	69	2460	4.21372936543e-11	6.081808396124865e-05	7.5536654516e-05	KL,IL3,JAK1,GDNF,HRAS,PDGFRB,HSP90AA1,FGFR4,EGFR,JAK3,WNT5A,IGF2R,SPRY2,MATK,SLIT2,KIT,HBEGF,PTK2,IRS2,ROBO1,PIK3R1,DAB2,CALM3,SHC1,MET,IL2RA,RAB5A,HGF,ABL1,REPS1,IRS1,SOS1,FGF2,ERBB2,FGFR1,CSF2,IL5RA,ANGPT1,RET,ERBB4,CD4,AP2A1,KRAS,PIK3CB,TFRC,PIK3CA,CDC42,KITLG,PTPN11,SHC3,ABCB1,FGFR3,ERBB3,IL5,GAB1,PTPRA,EGF,IL2,AKAP9,NRG1,SRC,NRAS,AVP,FGF10,ARRB1,FGFR2,NCAM1,IL2RB,ADRB2
341	Meningioma	C0025286	28	452	4.32321956012e-11	6.117689271618228e-05	0.000117975359775	JAK1,FGF9,CLTCL1,PDGFRB,FGFR4,EGFR,JAK3,PTK2,AP2B1,CALM3,FGF2,PDGFRA,ERBB2,FGFR1,CSF2,KRAS,PDGFB,PIK3CB,TFRC,PIK3CA,ABCB1,FGFR3,ERBB3,EGF,GRB2,JAK2,PDGFA,NRAS
343	Neoplasm of the nervous system	C0027766	15	139	4.48762138561e-11	6.15357014711159e-05	0.000185830161233	GDNF,HRAS,PDGFRB,KIT,PDGFRA,ERBB2,FGFR1,OCRL,RET,KRAS,PDGFB,PIK3CA,PTPN11,EGF,NRAS
345	Endometriosis	C0014175	33	727	4.77169415092e-11	6.189451022604951e-05	9.23222217442e-05	JAK1,FGF9,EGFR,HBEGF,IRS2,SHC1,MET,HGF,SOS1,FGF2,PDGFRA,ERBB2,FGFR1,CSF2,ANGPT1,KRAS,PIK3CB,PIK3CA,SYT1,CDC42,KITLG,PTPN11,RASGRP1,EGF,LRRK2,SRC,PDGFA,FGF1,ARTN,TEK,FGFR2,NCAM1,IL2RB
346	Hepatic cancer metastatic	C0345904	28	613	4.84574602666e-11	6.207391460351634e-05	0.000139796195494	TRIP10,GDNF,HRAS,PDGFRB,HSP90AA1,EGFR,IGF2R,SPRY2,ROBO1,PIK3R1,CALM3,MET,HGF,GFRA1,ARRB2,PDGFRA,CSF2,KRAS,FGF19,PIK3CB,PIK3CA,KITLG,ABCB1,CTTN,EGF,PIK3R2,NRAS,ARRB1
347	Inflammatory Bowel Diseases	C0021390	37	985	4.90775198259e-11	6.225331898098314e-05	7.40665170373e-05	CAMK2G,IL3,JAK1,HSP90AA1,EGFR,JAK3,SLIT2,FGF7,NRG4,IRS2,APOB,DAB2,IL2RA,HGF,SOS1,TF,FGF2,CDC37,ARPC2,CSF2,ERBB4,KRAS,PDGFB,SYT1,PTPN11,ABCB1,IL5,EGF,IL2,LRRK2,JAK2,FGF20,RASGRF1,TEK,FGFR2,NCAM1,IL2RB
348	Hepatocellular carcinoma	C2239176	92	3108	4.95271601508e-11	6.243272335844995e-05	6.90561382168e-05	KL,IL3,STAM,JAK1,GDNF,HRAS,FGF17,PDGFRB,HSP90AA1,FGFR4,EGFR,WNT5A,IGF2R,SPRY2,SLIT2,SPRY1,KIT,HBEGF,PTK2,GFRA2,IRS2,APOB,GPNMB,ROBO1,PIK3R1,CLTC,CALM3,SHC1,MET,IL2RA,FGF3,RAB5A,HGF,GFRA1,IRS1,EPS15L1,SOS1,TF,FGF2,GPC1,EREG,PDGFRA,FGF8,CDC37,ERBB2,FGFR1,CSF2,ANGPT1,RET,DNM2,RPS27A,FGF18,KRAS,FGF19,PDGFB,RASGRP3,PTPN12,PIK3CB,TFRC,PIK3CA,SYT1,CDC42,KITLG,HIP1,PTPN11,ABCB1,CTTN,SPTBN1,IL5,GAB1,EGF,IL2,PIK3R2,BIN1,GRB2,BTC,UBC,KLB,FGF4,JAK2,SRC,PDGFA,NRAS,AVP,FGF20,RASGRF1,FGF1,TEK,FGFR2,NCAM1,IL2RB,ADRB2
349	Myeloid leukemia	C0023470	34	533	4.98941998828e-11	6.261212773591676e-05	0.00017598217902	CBL,CAMK2G,IL3,JAK1,PDGFRB,HSP90AA1,JAK3,WNT5A,KIT,CALM3,IL2RA,ABL1,SOS1,PDGFRA,PICALM,CSF2,ANGPT1,KRAS,PDGFB,PIK3CB,TFRC,PIK3CA,PTPN11,ABCB1,IL5,IL2,JAK2,EPS15,NRAS,RASGRF1,TEK,NCAM1,PIK3C2A,IL2RB
